id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00503,006,Proyectos,Investigación y desarrollo,"Estudios comparados de disponibilidad léxica de estudiantes de quinto, noveno y undécimo de escuelas públicas y privadas de Colombia y México . (Segunda Etapa)",2024/12,2
00504,006,Proyectos,Investigación y desarrollo,La aprehensión de la competencia sociocultural en los estudiantes de Negocios Internacionales del Centro Regional Manizales de la Universidad Católica Luis Amigó,Actual,2
00505,006,Proyectos,Investigación y desarrollo,La mediación tecnológica para el desarrollo de la lectura y escritura en el aprendizaje del idioma inglés en el contexto universitario.,2024/8,2
00506,006,Proyectos,Investigación y desarrollo,Análisis de las tensiones y desafíos de la inteligencia artificial en los procesos de aprendizaje y evaluación en educación superior,2024/11,2
00507,006,Proyectos,Investigación y desarrollo,"LENGUA, IDEOLOGÍA Y PODER: EL INGLÉS COMO IDEOLOGÍA NEOLIBERAL EN LA GLOBALIZACIÓN. FASE 1.",Actual,2
00508,006,Proyectos,Investigación y desarrollo,La inteligencia emocional en docentes como categoría académico-pedagógica para el fortalecimiento de la educación para la paz y la construcción ciudadana en instituciones educativas de la ciudad de Medellín.,2023/11,2
00509,006,Proyectos,Investigación y desarrollo,Vinculación entre educación y trabajo en el Nivel Superior Universitario: un estudio de casos múltiples entre la Universidad Católica Luis Amigó (Colombia) y Universidad Católica de Salta (Argentina).,2023/11,2
00510,006,Proyectos,Investigación y desarrollo,"Estudios comparados de disponibilidad léxica de estudiantes de quinto, noveno y undécimo de escuelas públicas y privadas de Colombia y México . (Primera Etapa)",2023/11,2
00511,006,Proyectos,Investigación y desarrollo,Autoevaluación TIC: una metodología integral para el desarrollo de la apropiación tecnológica. Fase I.,2023/11,2
00512,006,Proyectos,Investigación y desarrollo,Imaginarios de escolares sobre el consumo de sustancias psicoactivas: retos de la educación hoy,Actual,2
00513,006,Proyectos,Investigación y desarrollo,Transformaciones de la enseñanza docente a partir de lo público y lo privado y su influencia en el proceso de aprendizaje de estudiantes universitarios en tiempos de pandemia,2022/11,2
00514,006,Proyectos,Investigación y desarrollo,Variables asociadas a la gestión satisfactoria de las relaciones educativas virtuales con estudiantes universitarios: análisis del caso de la Universidad Católica Luis Amigó.,2022/11,2
00515,006,Proyectos,Investigación y desarrollo,Prácticas de Escritura Colectiva en la Formación de Maestros Investigadores (PRESCOL),2024/11,2
00516,006,Proyectos,Investigación y desarrollo,Literacidad Intercultural en el aprendizaje y enseñanza del inglés como lengua extranjera: un estudio netnográfico con estudiantes de Colombia y Brasil.,2023/11,2
00517,006,Proyectos,Investigación y desarrollo,¿Cómo construir la competencia intercultural a través de la enseñanza y aprendizaje del inglés como lengua extranjera en varios centros regionales?,2023/11,2
00518,006,Proyectos,Extensión y responsabilidad social CTI,Centro de pensamiento Medellín es Amigó,2022/5,2
00519,006,Proyectos,Investigación y desarrollo,"Narrativas de estudiantes, padres de familia, docentes y directivos acerca de procesos de inclusión-exclusión educativa en estudiantes de extraedad en la Institución Educativa Monseñor Francisco Cristóbal Toro en contextos de pandemia",Actual,2
00520,006,Proyectos,Investigación y desarrollo,"El fenómeno de las migraciones y su relación con las habilidades para la vida en los actores de la educación-Yarumal, Antioquia",2021/11,2
00521,006,Proyectos,Investigación y desarrollo,"Demandas al maestro en formación, para orientar procesos educativos en casa en tiempos de confinamiento",2021/3,2
00522,006,Proyectos,Investigación y desarrollo,La educación y el desarrollo humano como propuesta académico-pedagógica que garantizar la educación inclusiva,2021/11,2
00523,006,Proyectos,Investigación y desarrollo,"Intervención psicosocial con familias. Perspectivas de estudiantes, graduados y docentes de la Universidad Católica Luis Amigó",2021/11,2
00524,006,Proyectos,Investigación y desarrollo,La pedagogía familiar como alternativa educativa en época de distanciamiento social,2021/11,2
00525,006,Proyectos,Investigación y desarrollo,Procesos de socialización secundaria. Un reto familiar en tiempos de pandemia.,2021/3,2
