id_investigador,id_prod
0004,00001
0004,00002
0004,00003
0004,00004
0004,00005
0008,00006
0010,00007
0010,00008
0009,00009
0009,00010
0009,00011
0009,00013
0009,00014
0004,00015
0009,00016
0009,00017
0009,00018
0009,00019
0001,00020
0002,00022
0002,00025
0010,00030
0002,00031
0002,00032
0002,00033
0007,00034
0007,00035
0007,00036
0007,00038
0007,00039
0002,00040
0002,00041
0002,00043
0012,00044
0010,00045
0010,00046
0004,00047
0060,00047
0004,00048
0060,00048
0002,00049
0002,00050
0002,00051
0010,00052
0001,00053
0007,00054
0007,00055
0007,00056
0012,00057
0002,00058
0002,00059
0010,00060
0010,00061
0010,00062
0001,00063
0002,00064
0002,00065
0002,00066
0002,00067
0002,00068
0002,00069
0002,00070
0001,00071
0001,00072
0007,00075
0007,00076
0004,00077
0055,00077
0004,00079
0055,00079
0002,00081
0007,00082
0004,00083
0055,00083
0004,00084
0055,00084
0004,00085
0055,00085
0004,00087
0055,00087
0007,00088
0011,00088
0002,00089
0007,00091
0007,00092
0007,00093
0011,00093
0002,00094
0002,00095
0002,00096
0002,00097
0002,00098
0002,00099
0002,00100
0002,00101
0006,00104
0007,00108
0007,00111
0007,00112
0013,00126
0020,00127
0013,00128
0013,00129
0013,00130
0020,00131
0020,00132
0020,00133
0013,00134
0013,00135
0022,00136
0022,00137
0020,00138
0022,00139
0014,00140
0014,00141
0013,00143
0014,00144
0013,00146
0013,00147
0014,00150
0014,00153
0014,00154
0022,00156
0019,00157
0016,00158
0016,00159
0013,00161
0013,00162
0022,00167
0013,00168
0019,00169
0022,00172
0022,00173
0014,00175
0022,00177
0014,00178
0014,00179
0014,00181
0013,00182
0013,00183
0019,00190
0014,00191
0023,00193
0014,00194
0018,00195
0014,00196
0013,00200
0018,00201
0018,00202
0020,00207
0020,00208
0019,00212
0022,00218
0014,00219
0014,00220
0018,00221
0017,00223
0014,00225
0014,00226
0014,00227
0013,00228
0013,00230
0013,00231
0013,00232
0013,00233
0018,00234
0018,00235
0018,00236
0017,00238
0013,00239
0018,00241
0019,00242
0020,00243
0022,00244
0022,00245
0013,00257
0013,00258
0013,00259
0013,00260
0014,00261
0014,00262
0013,00263
0013,00264
0013,00265
0013,00266
