id,id_grupo,categoria,tipo_producto,titulo,ano,autores,tipologia
00031,005,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Producto de apropiación social del conocimiento para el fortalecimiento o solución de asuntos de interés social. mejoramiento de prácticas educativas Institución Educativa Fray Luis Amigó y Ferrer y Centro de Atención al Joven Carlos Lleras Restrepo,2023,,3
00032,005,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,MEJORAMIENTO DE PRÁCTICAS EDUCATIVAS INSTITUCIÓN EDUCATIVA SAN ROBERTO BELARMINO,2022,,3
00033,005,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Mejoramiento de prácticas educativas. Institución Educativa Horacio Muñoz Suescún.,2022,,3
00034,005,"Producción en arte, arquitectura y diseño",Producto,Bateria para la evaluacion de competencias organizacionales desde le modelo cognitivo (BCOC),2022,,3
00035,005,"Producción en arte, arquitectura y diseño",Producto,Dimensiones estrategicas para la construccion de un modelo de salario emocional desde las logicas de la gestion del talento humano y la gerencia humanizada,2018,,3
00036,006,"Cartas, mapas o similares",Carta,Aprendamos juntos sobre los hábitos saludables,2024,CARLOS ANDRES CARDONA ARTEAGA,2
00037,006,Publicaciones editoriales no especializadas,Publicación editorial no especializada,Types of uses of ICT from teachers in their pedagogical practices.,2025,,3
00038,006,Publicaciones editoriales no especializadas,Publicación editorial no especializada,"Historias de reintegración en el Eje Cafetero y dos municipios de Chocó, 2010-2020",2022,,3
00039,006,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Mejoramiento de prácticas educativas. Institución Educativa Horacio Muñoz Suescún,2022,,3
00040,006,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Seminario: Aportes de la Neuropsicopedagogía al Contexto Escolar,2021,,3
00041,006,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Mejoramiento de prácticas educativas Fundación Educativa Colegio San Juan Eudes.,2022,,3
00042,006,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Mejoramiento de prácticas educativas Colegio Santa Bertilla Boscardín,2022,,3
00043,006,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,Proyecto Inclu-Learning,2022,,3
00044,006,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,APE-Learning,2022,,3
00045,006,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,Proyecto ESCUELAS 4G perteneciente al Centro de Pensamiento,2021,,3
00046,006,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,Centro de Pensamiento Medellín en Amigó,2022,,3
00047,006,"Producción en arte, arquitectura y diseño",Producto,El Candelabro,2019,,3
00048,007,Proyectos de ley,Proyecto de ley,Acuerdo 54 de 2011 (Política Pública para la familia),2011,OVIDIO HERRERA RIVERA,2
00049,008,Producciones de contenido digital - Sonoro,Producción de contenido digital (Sonoro),Podcast_Más canas menos cunas. Medellín 2035 la ciudad que envejece,2025,,3
00050,008,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Hablemos de la vida: La espiritualidad como factor protector del comportamiento suicida?. Municipio de Bello, Fase I-2021",2021,,3
00051,008,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,La familia como factor de riesgo o factor protector.,2021,,3
00052,008,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Importancia de redes interinstitucionales de prevención y atención de salud mental.Tarija (Bolivia) Fase I-2021,2021,,3
00053,008,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Factores Protectores en la familia. Municipio de Santa Rosa de Osos, Fase I -2021",2021,,3
00054,008,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Socialización de factores protectores para la salud mental, en el marco de la prevención del comportamiento suicida. Municipio El Carmen de Viboral, Fase I-2021",2021,,3
