id,id_grupo,categoria,tipo_producto,titulo,ano,institucion,autores,tipologia
01816,006,Trabajos dirigidos/turorías,Monografía de conclusión de curso de perfeccionamiento/especialización,"Estrategias para mejorar la convivencia en los alumnos de la institución educativa Procesa Delgado del municipio de Alejandría, Antioquia",,UNIVERSIDAD CATOLICA LUIS AMIGO,OLENA KLIMENKO KLIMENKO,4
01817,006,Trabajos dirigidos/turorías,Monografía de conclusión de curso de perfeccionamiento/especialización,Diseño de estrategias gerenciales educativas para minimizar la deserción escolar en el ITM ¿ CAMPUS CASTILLA de la comuna 5 de la ciudad de Medellín,,UNIVERSIDAD CATOLICA LUIS AMIGO,OLENA KLIMENKO KLIMENKO,4
01818,006,Trabajos dirigidos/turorías,Monografía de conclusión de curso de perfeccionamiento/especialización,Diseño de un Programa de intervención y prevención de bullying en al ambiente de Colegio Gimnasio Vermont School,,UNIVERSIDAD CATOLICA LUIS AMIGO,OLENA KLIMENKO KLIMENKO,4
01819,006,Trabajos dirigidos/turorías,Monografía de conclusión de curso de perfeccionamiento/especialización,Fomento de creatividad en los estudiantes de diseño industrial.,,UNIVERSIDAD CATOLICA LUIS AMIGO,OLENA KLIMENKO KLIMENKO,4
01820,006,Trabajos dirigidos/turorías,Iniciación Científica,Semillero en Evaluación y Adquisición de Lenguas Extranjeras,Noviembre 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,JOSE VICENTE ABAD OLAYA,4
01821,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,la autoestima de las niñas en relación con la separación,Noviembre 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,MICHELLE BETANCUR ZULUAGA,4
01822,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,incidencia de los hábitos familiares de estudio en el proceso de aprendizaje de los niños de jardín del centro infantil génesis,Noviembre 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,MICHELLE BETANCUR ZULUAGA,4
01823,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,influencia del trato afectivo familiar en el rendimiento académico de los niños,Noviembre 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,MICHELLE BETANCUR ZULUAGA,4
01824,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Pronunciation Improvement Through the Use of Songs,Noviembre 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,JOSE VICENTE ABAD OLAYA,4
01825,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,El cuento: Una estrategia que cuenta en la enseñanza de la Teologia,Noviembre 2014,Sector Calle Vieja,ADRIANA MARIA GALLEGO HENAO,4
01826,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Dinámica familiar y comportamiento agresivo: un análisis de caso,Noviembre 2014,Licenciatura en Educación,ADRIANA MARIA GALLEGO HENAO,4
01827,006,Trabajos dirigidos/turorías,Trabajo de grado de maestría o especialidad clínica,Menores infractores y prosocialidad en el contexto del Centro de Formación para la Paz,Julio 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,GLORIA MARIA LOPEZ ARBOLEDA,4
01828,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Influencia de la motivación y actitud del docente en el desarrollo de la habilidad oral en inglés,Noviembre 2014,instituccion educativa san jose,ADRIANA MARIA GALLEGO HENAO,4
01829,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,La música y la plástica un encuentro con ser,Noviembre 2014,Centro de Desarrollo Infantil Mis pequeños Gigantes,"ADRIANA MARIA GALLEGO HENAO , MARIA PATRICIA GOMEZ GOMEZ",4
01830,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Incidencia de los hábitos familiares de estudio en los procesos de aprendizaje de los niños del nivel  jardín,Noviembre 2014,Centro Infantil Génesis,"ADRIANA MARIA GALLEGO HENAO , MICHELLE BETANCUR ZULUAGA",4
01831,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,FORTALECIMIENTO DE LA AUTOESTIMA A TRAVÉS DE LOS TEXTOS INFANTILES,Noviembre 2014,Colegio de la Presentación,"ADRIANA MARIA GALLEGO HENAO , MICHELLE BETANCUR ZULUAGA",4
01832,006,Trabajos dirigidos/turorías,Trabajo de grado de maestría o especialidad clínica,Puede el arte posibilitar proceso de aprendizaje,Febrero 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,CARLOS HUMBERTO ARREDONDO MARIN,4
01833,006,Trabajos dirigidos/turorías,Trabajo de grado de maestría o especialidad clínica,letra sin eco: una mirada holistica a los trastornos en lectoescritura,Febrero 2014,UNIVERSIDAD CATOLICA LUIS AMIGO,CARLOS HUMBERTO ARREDONDO MARIN,4
01834,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Estrategias de motivación para el aprendizaje del inglés en niños de Preescolar de la institución educativa Francisco Miranda Sede Julio Arboleda,Mayo 2014,institución educativa Francisco Miranda Sede Julio Arboleda,ADRIANA MARIA GALLEGO HENAO,4
01835,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Acompañamiento de la familia en la formación de hábitos lectores en niños entre 7 y 8 años de edad,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01836,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,LA EDUCACIÓN EN EL SISTEMA PENITENCIAL COLOMBIANO,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01837,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,METODOLOGÍA DEL INGLÉS APLICADA ADECUADAMENTE EN EL AULA DE CLASE.,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
01838,006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ANÁLISIS COMPARATIVO DE LAS ACTITUDES DE LOS DOCENTES DE LAS ESCUELAS PÚBLICAS Y PRIVADAS HACIA EL INGLÉS,Junio,UNIVERSIDAD CATOLICA LUIS AMIGO,LIBIA ELENA RAMIREZ ROBLEDO,4
