id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00022,011,Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,"GUSTAVO ADOLFO CALDERON VALLEJO, JUAN SANTIAGO CALLE PIEDRAHITA, PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA, SANTIAGO ALBERTO MORALES, MAGDA VICTORIA DIAZ ALZATE",1
00023,011,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,"GUILLERMO ALONSO CASTANO PEREZ, ELVIA VELASQUEZ DE P, ALVARO OLAYA PELAEZ, SERGIO CASTRO REY",1
00024,011,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,GUILLERMO ALONSO CASTANO PEREZ,1
00025,011,Libros de formación,Libros de formación,Kit Educativo: Universidades Preventivas,Colombia,2008,GUILLERMO ALONSO CASTANO PEREZ,1
00026,011,Libros de formación,Libros de formación,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,Colombia,2005,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00027,011,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 4. Investigación Y Problemáticas Sociales,Colombia,2005,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00028,011,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,Colombia,2005,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00029,011,Libros de formación,Libros de formación,Serie Formandonos En Prevencion Integral. Lo Socieducativo En La Prevencion Integral,Colombia,2005,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
00030,011,Libros de formación,Libros de formación,Manual Conceptos Que Constituyen Información Básica Sobre Farmacodependencia Y Alcoholismo,Colombia,2003,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA",1
00031,011,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ",1
