id,id_grupo,categoria,info_9,tipo_producto,titulo,pais,ano,autores,tipologia
00033,011,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Amor, empatía y conductas prosociales: una reflexión interdisciplinaria",Colombia,2022,"DUBIS MARCELA RINCON BARRETO, JOSE FEDERICO AGUDELO TORRES, ALEXANDER RODRIGUEZ BUSTAMANTE, SANDRA MILENA RESTREPO ESCOBAR",1
00034,011,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Violencias basadas en género: la otra tragedia de Colombia. Planteamientos académicos.,Colombia,2022,"ALEXANDER RODRIGUEZ BUSTAMANTE, CRISTINA MARIA GIRALDO HURTADO, SONIA ELENA LOPEZ PULGARIN, GLORIA MARIA LOPEZ ARBOLEDA, DAVID GUTIERREZ GONZALEZ",1
00035,011,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Transformar la masculinidad: entre lo íntimo y lo político. Narrativas y discursos de hombres activistas antipatriarcales latinoamericanos,Colombia,2021,JORGE ANDRES JIMENEZ RODAS,1
00036,011,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Depresión angustia e ideación suicida en niños y adolescentes ¿cómo identificarlas y responder diferencialmente?,Colombia,2019,ELIZA KRATC GIL,1
00037,012,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Relaciones civiles-militares y su entendimiento para el conflicto armado interno colombiano. Conceptos y revisiones entre 1998 al 2023.,Colombia,2023,JORGE ANDRES RICO ZAPATA,1
00038,012,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Piedra, papel y pixel: el texto digital en juego",Colombia,2020,CARLOS SUAREZ QUICENO,1
00039,012,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable.,Colombia,2019,"JUAN DIEGO LOPEZ MEDINA, RAFAEL VARGAS CANO, JORGE IVAN GAVIRIA MESA, MONICA LUCIA GRANDA VIVEROS, OMAR MUNOZ SANCHEZ, JAIME ALBERTO OROZCO TORO, JOHN FREDY CANO GUTIERREZ, CLAUDIA INES VELEZ OCHOA, DAVID ALEJANDRO RESTREPO DIAZ, DIEGO ANDRES DORIA GOMEZ",1
00040,012,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Sin perder de vista. Reflexiones teóricas sobre comunicación visual, color y marca",Colombia,2017,EDWIN ANDRES SEPULVEDA CARDONA,1
00041,012,Libros de divulgación y/o Compilación de divulgación,"Autores: JUAN DIEGO LOPEZ MEDINA, RAFAEL MAURICIO PARIS RESTREPO",Libros de divulgación y/o Compilación de divulgación,Pertinencia de la investigación publicitaria,Alemania,2017,,1
00042,013,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Profesionalismo y profesionalidad del Maestro,Colombia,2020,JORGE WILLIAM GUERRA MONTOYA,1
00043,013,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,La Filosofía Hoy,Colombia,2015,"DAVID ESTEBAN ZULUAGA MESA, ANDRES ALFREDO CASTRILLON CASTRILLON, ANDRES MAURICIO SANCHEZ FLOREZ, JUAN JOSE ESCOBAR LOPEZ, ANDRES OSPINA RAMIREZ, ALFREDO MANUEL GHISO COTOS, JULIAN NARANJO ESCOBAR, ANDRES FELIPE AGUDELO ZORRILLA, PAOLA ANDREA FERNANDEZ ZAPATA, DIANA MILENA GOMEZ HURTADO, JEISON JULIAN FRANCO MEDINA, PALOMA MARIN ESCOBAR, JHOANA ANDREA GUTIERREZ CADAVID",1
00044,014,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Responsabilidad ética como base para la generación y reporte de información no financiera,Colombia,2025,"GABRIEL ALFONSO PACHECO MARTINEZ, LUZ ANDREA BEDOYA PARRA, OMAR DE JESUS MONTILLA GALVIS",1
00045,014,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Contaduría pública en el ecosistema de CTI+E,Colombia,2025,CANDY LORENA CHAMORRO GONZALEZ,1
00046,014,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Técnicas didácticas aplicadas a la formación del contador público,Colombia,2023,OLGA PATRICIA VASQUEZ MONTOYA,1
